instrument,strike,expiration,option_type,underlying_price,mark_price,mark_iv,bid,ask,oi,volume,greeks,timestamp
ETH-25OCT25-3400-C,3400.0,1761379200000,call,3939.2867,0.1369,140.85,0.106,0.1695,0.0,0.0,"{'delta': 0.99852, 'gamma': 2e-05, 'vega': 0.00672, 'theta': -0.47344, 'rho': 0.04268}",2025-10-24T23:58:38.946184
ETH-25OCT25-3400-P,3400.0,1761379200000,put,3939.3575,0.0,140.85,0.0,0.0001,2462.0,861.0,"{'delta': -0.00148, 'gamma': 2e-05, 'vega': 0.00672, 'theta': -0.08388, 'rho': -7e-05}",2025-10-24T23:58:39.205850
ETH-25OCT25-3500-C,3500.0,1761379200000,call,3939.3575,0.1117,140.85,0.0795,0.1465,0.0,0.0,"{'delta': 0.99163, 'gamma': 0.00012, 'vega': 0.03186, 'theta': -2.24341, 'rho': 0.04359}",2025-10-24T23:58:39.459844
ETH-25OCT25-3500-P,3500.0,1761379200000,put,3939.3575,0.0001,140.85,0.0001,0.0002,951.0,263.0,"{'delta': -0.00837, 'gamma': 0.00012, 'vega': 0.03186, 'theta': -0.5561, 'rho': -0.00042}",2025-10-24T23:58:39.724555
ETH-25OCT25-3600-C,3600.0,1761379200000,call,3939.3575,0.0863,110.93,0.0545,0.1205,5.0,0.0,"{'delta': 0.98954, 'gamma': 0.00018, 'vega': 0.03871, 'theta': -2.14719, 'rho': 0.04475}",2025-10-24T23:58:39.985528
ETH-25OCT25-3600-P,3600.0,1761379200000,put,3939.3882,0.0001,110.93,0.0001,0.0002,835.0,196.0,"{'delta': -0.01045, 'gamma': 0.00018, 'vega': 0.03869, 'theta': -0.55835, 'rho': -0.00052}",2025-10-24T23:58:40.250083
ETH-25OCT25-3700-C,3700.0,1761379200000,call,3939.2867,0.0609,82.15,0.044,0.0945,19.0,0.0,"{'delta': 0.98483, 'gamma': 0.00033, 'vega': 0.05341, 'theta': -2.19386, 'rho': 0.04577}",2025-10-24T23:58:40.503432
ETH-25OCT25-3700-P,3700.0,1761379200000,put,3939.3882,0.0002,82.15,0.0001,0.0003,4561.0,809.0,"{'delta': -0.01513, 'gamma': 0.00033, 'vega': 0.05331, 'theta': -0.62242, 'rho': -0.00076}",2025-10-24T23:58:40.758853
ETH-25OCT25-3750-C,3750.0,1761379200000,call,3939.3882,0.0483,68.25,0.021,0.082,53.0,0.0,"{'delta': 0.9797, 'gamma': 0.00051, 'vega': 0.06849, 'theta': -2.33739, 'rho': 0.04615}",2025-10-24T23:58:41.009549
ETH-25OCT25-3750-P,3750.0,1761379200000,put,3939.3575,0.0002,68.25,0.0001,0.0003,1560.0,155.0,"{'delta': -0.02031, 'gamma': 0.00051, 'vega': 0.06854, 'theta': -0.73159, 'rho': -0.00102}",2025-10-24T23:58:41.278192
ETH-25OCT25-3775-C,3775.0,1761379200000,call,3938.7153,0.0418,62.5,0.012,0.076,0.0,0.0,"{'delta': 0.97298, 'gamma': 0.00071, 'vega': 0.08713, 'theta': -2.72292, 'rho': 0.04612}",2025-10-24T23:58:41.534158
ETH-25OCT25-3775-P,3775.0,1761379200000,put,3939.3882,0.0002,62.5,0.0002,0.0003,188.0,175.0,"{'delta': -0.02655, 'gamma': 0.0007, 'vega': 0.08586, 'theta': -0.90787, 'rho': -0.00133}",2025-10-24T23:58:41.801868
ETH-25OCT25-3800-C,3800.0,1761379200000,call,3938.7153,0.0355,57.02,0.0335,0.0375,107.0,159.0,"{'delta': 0.96273, 'gamma': 0.00102, 'vega': 0.11363, 'theta': -3.23954, 'rho': 0.04593}",2025-10-24T23:58:42.059487
ETH-25OCT25-3800-P,3800.0,1761379200000,put,3939.3575,0.0003,57.02,0.0003,0.0004,1521.0,912.0,"{'delta': -0.03662, 'gamma': 0.00101, 'vega': 0.11202, 'theta': -1.20778, 'rho': -0.00183}",2025-10-24T23:58:42.312413
ETH-25OCT25-3825-C,3825.0,1761379200000,call,3938.3646,0.0292,50.83,0.027,0.031,383.0,82.0,"{'delta': 0.94839, 'gamma': 0.00149, 'vega': 0.14774, 'theta': -3.7545, 'rho': 0.04553}",2025-10-24T23:58:42.568836
ETH-25OCT25-3825-P,3825.0,1761379200000,put,3938.3646,0.0004,50.83,0.0003,0.0004,1456.0,1030.0,"{'delta': -0.05161, 'gamma': 0.00149, 'vega': 0.14774, 'theta': -1.54937, 'rho': -0.00258}",2025-10-24T23:58:42.830170
ETH-25OCT25-3850-C,3850.0,1761379200000,call,3938.3646,0.023,45.44,0.021,0.025,1125.0,286.0,"{'delta': 0.92166, 'gamma': 0.00231, 'vega': 0.20436, 'theta': -4.64293, 'rho': 0.04451}",2025-10-24T23:58:43.080642
ETH-25OCT25-3850-P,3850.0,1761379200000,put,3938.2939,0.0006,45.44,0.0004,0.0006,1192.0,825.0,"{'delta': -0.0785, 'gamma': 0.00231, 'vega': 0.20467, 'theta': -2.26431, 'rho': -0.00392}",2025-10-24T23:58:43.337671
ETH-25OCT25-3875-C,3875.0,1761379200000,call,3938.2939,0.0171,42.19,0.015,0.019,219.0,166.0,"{'delta': 0.86221, 'gamma': 0.00374, 'vega': 0.3075, 'theta': -6.48719, 'rho': 0.04186}",2025-10-24T23:58:43.604084
ETH-25OCT25-3875-P,3875.0,1761379200000,put,3938.2939,0.0011,42.19,0.0008,0.0012,792.0,215.0,"{'delta': -0.13779, 'gamma': 0.00374, 'vega': 0.3075, 'theta': -4.14891, 'rho': -0.00688}",2025-10-24T23:58:43.857051
ETH-25OCT25-3900-C,3900.0,1761379200000,call,3938.2939,0.0114,36.49,0.0095,0.0125,321.0,475.0,"{'delta': 0.77685, 'gamma': 0.00586, 'vega': 0.4169, 'theta': -7.60586, 'rho': 0.03791}",2025-10-24T23:58:44.113703
ETH-25OCT25-3900-P,3900.0,1761379200000,put,3938.5446,0.0017,36.49,0.0015,0.0021,798.0,779.0,"{'delta': -0.22169, 'gamma': 0.00584, 'vega': 0.41537, 'theta': -6.53744, 'rho': -0.01106}",2025-10-24T23:58:44.386295
ETH-25OCT25-3925-C,3925.0,1761379200000,call,3938.5446,0.0069,35.54,0.006,0.0075,1532.0,614.0,"{'delta': 0.61013, 'gamma': 0.00773, 'vega': 0.53584, 'theta': -9.52063, 'rho': 0.02988}",2025-10-24T23:58:44.645995
ETH-25OCT25-3925-P,3925.0,1761379200000,put,3938.3646,0.0035,35.54,0.0031,0.0037,603.0,787.0,"{'delta': -0.39126, 'gamma': 0.00774, 'vega': 0.53636, 'theta': -9.52979, 'rho': -0.01955}",2025-10-24T23:58:44.899815
ETH-25OCT25-3950-C,3950.0,1761379200000,call,3939.3575,0.0036,34.57,0.0031,0.0039,1255.0,1649.0,"{'delta': 0.41529, 'gamma': 0.00807, 'vega': 0.54471, 'theta': -9.41468, 'rho': 0.02039}",2025-10-24T23:58:45.158815
ETH-25OCT25-3950-P,3950.0,1761379200000,put,3938.6146,0.0065,34.57,0.006,0.007,415.0,606.0,"{'delta': -0.5907, 'gamma': 0.00805, 'vega': 0.54276, 'theta': -9.38086, 'rho': -0.02958}",2025-10-24T23:58:45.410759
ETH-25OCT25-3975-C,3975.0,1761379200000,call,3938.6146,0.0017,34.92,0.0015,0.0019,916.0,1425.0,"{'delta': 0.23073, 'gamma': 0.00624, 'vega': 0.42487, 'theta': -6.50881, 'rho': 0.01135}",2025-10-24T23:58:45.668332
ETH-25OCT25-3975-P,3975.0,1761379200000,put,3938.6146,0.0109,34.92,0.0095,0.013,444.0,1147.0,"{'delta': -0.76927, 'gamma': 0.00624, 'vega': 0.42487, 'theta': -7.41777, 'rho': -0.03864}",2025-10-24T23:58:45.927964
ETH-25OCT25-4000-C,4000.0,1761379200000,call,3938.6146,0.0007,36.25,0.0005,0.0009,2006.0,1371.0,"{'delta': 0.11575, 'gamma': 0.00385, 'vega': 0.27236, 'theta': -2.84546, 'rho': 0.0057}",2025-10-24T23:58:46.187846
ETH-25OCT25-4000-P,4000.0,1761379200000,put,3938.6146,0.0163,36.25,0.0145,0.0185,261.0,249.0,"{'delta': -0.88425, 'gamma': 0.00385, 'vega': 0.27236, 'theta': -4.93682, 'rho': -0.04461}",2025-10-24T23:58:46.448258
ETH-25OCT25-4025-C,4025.0,1761379200000,call,3938.6146,0.0004,39.36,0.0003,0.0005,1587.0,1599.0,"{'delta': 0.0609, 'gamma': 0.00219, 'vega': 0.16834, 'theta': -1.43782, 'rho': 0.003}",2025-10-24T23:58:46.716014
ETH-25OCT25-4025-P,4025.0,1761379200000,put,3938.6146,0.0223,39.36,0.014,0.0595,0.0,0.0,"{'delta': -0.9391, 'gamma': 0.00219, 'vega': 0.16834, 'theta': -3.31321, 'rho': -0.04762}",2025-10-24T23:58:46.973197
ETH-25OCT25-4050-C,4050.0,1761379200000,call,3938.6446,0.0002,43.09,0.0002,0.0003,1103.0,1531.0,"{'delta': 0.0346, 'gamma': 0.00127, 'vega': 0.10692, 'theta': -0.81843, 'rho': 0.0017}",2025-10-24T23:58:47.238344
ETH-25OCT25-4050-P,4050.0,1761379200000,put,3938.6446,0.0285,43.09,0.0265,0.0305,234.0,347.0,"{'delta': -0.9654, 'gamma': 0.00127, 'vega': 0.10692, 'theta': -2.30343, 'rho': -0.04923}",2025-10-24T23:58:47.494549
ETH-25OCT25-4075-C,4075.0,1761379200000,call,3938.6446,0.0001,47.66,0.0001,0.0002,662.0,666.0,"{'delta': 0.02248, 'gamma': 0.0008, 'vega': 0.07464, 'theta': -0.55438, 'rho': 0.00111}",2025-10-24T23:58:47.746569
ETH-25OCT25-4075-P,4075.0,1761379200000,put,3938.6446,0.0348,47.66,0.02,0.0725,26.0,0.0,"{'delta': -0.97752, 'gamma': 0.0008, 'vega': 0.07464, 'theta': -1.77887, 'rho': -0.05014}",2025-10-24T23:58:48.032011
ETH-25OCT25-4100-C,4100.0,1761379200000,call,3938.6746,0.0001,55.08,0.0001,0.0002,4300.0,3317.0,"{'delta': 0.0204, 'gamma': 0.00064, 'vega': 0.06879, 'theta': -0.574, 'rho': 0.001}",2025-10-24T23:58:48.289109
ETH-25OCT25-4100-P,4100.0,1761379200000,put,3938.6746,0.0411,55.08,0.039,0.043,122.0,200.0,"{'delta': -0.9796, 'gamma': 0.00064, 'vega': 0.06879, 'theta': -1.89424, 'rho': -0.05056}",2025-10-24T23:58:48.556180
ETH-25OCT25-4150-C,4150.0,1761379200000,call,3938.6746,0.0001,63.7,0.0,0.0002,1331.0,441.0,"{'delta': 0.01066, 'gamma': 0.00032, 'vega': 0.03937, 'theta': -0.32142, 'rho': 0.00052}",2025-10-24T23:58:48.810732
ETH-25OCT25-4150-P,4150.0,1761379200000,put,3938.6746,0.0537,63.7,0.038,0.093,48.0,0.0,"{'delta': -0.98934, 'gamma': 0.00032, 'vega': 0.03937, 'theta': -1.25385, 'rho': -0.05167}",2025-10-24T23:58:49.061836
ETH-25OCT25-4200-C,4200.0,1761379200000,call,3938.556,0.0001,73.25,0.0,0.0001,1194.0,178.0,"{'delta': 0.00692, 'gamma': 0.00019, 'vega': 0.02695, 'theta': -0.22928, 'rho': 0.00034}",2025-10-24T23:58:49.320898
ETH-25OCT25-4200-P,4200.0,1761379200000,put,3938.556,0.0664,73.25,0.05,0.1065,0.0,0.0,"{'delta': -0.99308, 'gamma': 0.00019, 'vega': 0.02695, 'theta': -0.98721, 'rho': -0.05248}",2025-10-24T23:58:49.578127
ETH-25OCT25-4250-C,4250.0,1761379200000,call,3938.556,0.0,76.14,0.0,0.0001,429.0,242.0,"{'delta': 0.00252, 'gamma': 7e-05, 'vega': 0.0109, 'theta': -0.079, 'rho': 0.00012}",2025-10-24T23:58:49.837003
ETH-25OCT25-4250-P,4250.0,1761379200000,put,3938.556,0.0791,76.14,0.054,0.119,0.0,0.0,"{'delta': -0.99748, 'gamma': 7e-05, 'vega': 0.0109, 'theta': -0.41506, 'rho': -0.05332}",2025-10-24T23:58:50.098191
ETH-25OCT25-4300-C,4300.0,1761379200000,call,3938.6967,0.0,85.48,0.0,0.0001,1358.0,915.0,"{'delta': 0.00199, 'gamma': 5e-05, 'vega': 0.0088, 'theta': -0.06864, 'rho': 0.0001}",2025-10-24T23:58:50.352560
ETH-25OCT25-4300-P,4300.0,1761379200000,put,3938.6967,0.0917,85.48,0.054,0.1325,0.0,0.0,"{'delta': -0.99801, 'gamma': 5e-05, 'vega': 0.0088, 'theta': -0.37622, 'rho': -0.05398}",2025-10-24T23:58:50.603873
ETH-25OCT25-4400-C,4400.0,1761379200000,call,3938.6967,0.0,86.15,0.0,0.0001,151.0,25.0,"{'delta': 0.00015, 'gamma': 0.0, 'vega': 0.00083, 'theta': -0.00449, 'rho': 1e-05}",2025-10-24T23:58:50.864204
ETH-25OCT25-4400-P,4400.0,1761379200000,put,3938.6967,0.1171,86.15,0.0795,0.158,0.0,0.0,"{'delta': -0.99985, 'gamma': 0.0, 'vega': 0.00083, 'theta': -0.03555, 'rho': -0.05533}",2025-10-24T23:58:51.115551
ETH-25OCT25-4500-C,4500.0,1761379200000,call,3938.7067,0.0,89.11,0.0,0.0001,132.0,101.0,"{'delta': 1e-05, 'gamma': 0.0, 'vega': 8e-05, 'theta': -0.00036, 'rho': 0.0}",2025-10-24T23:58:51.375262
ETH-25OCT25-4500-P,4500.0,1761379200000,put,3938.7067,0.1425,89.11,0.104,0.184,0.0,0.0,"{'delta': -0.99999, 'gamma': 0.0, 'vega': 8e-05, 'theta': -0.00367, 'rho': -0.05659}",2025-10-24T23:58:51.631450
ETH-26OCT25-3400-C,3400.0,1761465600000,call,3938.8156,0.137,98.32,0.1055,0.1695,0.0,0.0,"{'delta': 0.99175, 'gamma': 9e-05, 'vega': 0.05609, 'theta': -1.88999, 'rho': 0.13458}",2025-10-24T23:58:51.885864
ETH-26OCT25-3400-P,3400.0,1761465600000,put,3938.8156,0.0002,98.32,0.0001,0.0003,314.0,16.0,"{'delta': -0.00825, 'gamma': 9e-05, 'vega': 0.05609, 'theta': -0.68399, 'rho': -0.00133}",2025-10-24T23:58:52.143037
ETH-26OCT25-3500-C,3500.0,1761465600000,call,3938.8156,0.1116,81.26,0.0795,0.1445,0.0,0.0,"{'delta': 0.98996, 'gamma': 0.00013, 'vega': 0.06661, 'theta': -1.85475, 'rho': 0.1383}",2025-10-24T23:58:52.404600
ETH-26OCT25-3500-P,3500.0,1761465600000,put,3938.8156,0.0002,81.26,0.0001,0.0003,461.0,61.0,"{'delta': -0.01004, 'gamma': 0.00013, 'vega': 0.06661, 'theta': -0.70001, 'rho': -0.00161}",2025-10-24T23:58:52.662246
ETH-26OCT25-3600-C,3600.0,1761465600000,call,3938.6156,0.0863,68.46,0.053,0.1195,0.0,0.0,"{'delta': 0.98207, 'gamma': 0.00026, 'vega': 0.10989, 'theta': -2.5784, 'rho': 0.14104}",2025-10-24T23:58:52.915871
ETH-26OCT25-3600-P,3600.0,1761465600000,put,3938.6156,0.0003,68.46,0.0002,0.0004,750.0,156.0,"{'delta': -0.01793, 'gamma': 0.00026, 'vega': 0.10989, 'theta': -1.12374, 'rho': -0.00287}",2025-10-24T23:58:53.176081
ETH-26OCT25-3700-C,3700.0,1761465600000,call,3938.6156,0.0611,56.35,0.0275,0.095,6.0,0.0,"{'delta': 0.9618, 'gamma': 0.00059, 'vega': 0.20668, 'theta': -3.99116, 'rho': 0.1418}",2025-10-24T23:58:53.430085
ETH-26OCT25-3700-P,3700.0,1761465600000,put,3938.6156,0.0006,56.35,0.0005,0.0007,519.0,105.0,"{'delta': -0.0382, 'gamma': 0.00059, 'vega': 0.20668, 'theta': -2.17673, 'rho': -0.0061}",2025-10-24T23:58:53.689402
ETH-26OCT25-3725-C,3725.0,1761465600000,call,3938.5756,0.0549,53.99,0.0205,0.089,33.0,0.0,"{'delta': 0.95055, 'gamma': 0.00076, 'vega': 0.25456, 'theta': -4.71017, 'rho': 0.141}",2025-10-24T23:58:53.941752
ETH-26OCT25-3725-P,3725.0,1761465600000,put,3938.5756,0.0007,53.99,0.0005,0.0009,85.0,15.0,"{'delta': -0.04945, 'gamma': 0.00076, 'vega': 0.25456, 'theta': -2.80894, 'rho': -0.0079}",2025-10-24T23:58:54.209696
ETH-26OCT25-3750-C,3750.0,1761465600000,call,3938.5756,0.0488,51.42,0.039,0.057,25.0,0.0,"{'delta': 0.93642, 'gamma': 0.00097, 'vega': 0.31038, 'theta': -5.46952, 'rho': 0.13975}",2025-10-24T23:58:54.469749
ETH-26OCT25-3750-P,3750.0,1761465600000,put,3938.5756,0.0009,51.42,0.0008,0.0011,123.0,83.0,"{'delta': -0.06358, 'gamma': 0.00097, 'vega': 0.31038, 'theta': -3.58607, 'rho': -0.01015}",2025-10-24T23:58:54.729612
ETH-26OCT25-3775-C,3775.0,1761465600000,call,3938.5979,0.0427,48.7,0.0355,0.0485,0.0,0.0,"{'delta': 0.91823, 'gamma': 0.00125, 'vega': 0.37637, 'theta': -6.28113, 'rho': 0.13784}",2025-10-24T23:58:54.980992
ETH-26OCT25-3775-P,3775.0,1761465600000,put,3938.5979,0.0012,48.7,0.0009,0.0013,167.0,95.0,"{'delta': -0.08177, 'gamma': 0.00125, 'vega': 0.37637, 'theta': -4.5695, 'rho': -0.01306}",2025-10-24T23:58:55.245371
ETH-26OCT25-3800-C,3800.0,1761465600000,call,3938.5979,0.0367,46.17,0.0305,0.0415,70.0,0.0,"{'delta': 0.89286, 'gamma': 0.0016, 'vega': 0.45946, 'theta': -7.2694, 'rho': 0.13479}",2025-10-24T23:58:55.501628
ETH-26OCT25-3800-P,3800.0,1761465600000,put,3938.5979,0.0015,46.17,0.0012,0.0017,228.0,213.0,"{'delta': -0.10714, 'gamma': 0.0016, 'vega': 0.45946, 'theta': -5.9887, 'rho': -0.01711}",2025-10-24T23:58:55.761296
ETH-26OCT25-3825-C,3825.0,1761465600000,call,3938.2233,0.0308,43.79,0.029,0.033,151.0,4.0,"{'delta': 0.85714, 'gamma': 0.00207, 'vega': 0.56185, 'theta': -8.43096, 'rho': 0.13009}",2025-10-24T23:58:56.019319
ETH-26OCT25-3825-P,3825.0,1761465600000,put,3938.2233,0.002,43.79,0.0018,0.0022,223.0,46.0,"{'delta': -0.14286, 'gamma': 0.00207, 'vega': 0.56185, 'theta': -8.07289, 'rho': -0.02281}",2025-10-24T23:58:56.278504
ETH-26OCT25-3850-C,3850.0,1761465600000,call,3938.2233,0.0252,41.62,0.0235,0.027,213.0,67.0,"{'delta': 0.80897, 'gamma': 0.00263, 'vega': 0.67792, 'theta': -9.66952, 'rho': 0.12338}",2025-10-24T23:58:56.535197
ETH-26OCT25-3850-P,3850.0,1761465600000,put,3938.2233,0.0028,41.62,0.0025,0.003,587.0,271.0,"{'delta': -0.19103, 'gamma': 0.00263, 'vega': 0.67792, 'theta': -9.66952, 'rho': -0.03051}",2025-10-24T23:58:56.790125
ETH-26OCT25-3875-C,3875.0,1761465600000,call,3937.9288,0.0199,39.81,0.018,0.022,100.0,49.0,"{'delta': 0.74298, 'gamma': 0.00325, 'vega': 0.80277, 'theta': -10.95259, 'rho': 0.11382}",2025-10-24T23:58:57.044640
ETH-26OCT25-3875-P,3875.0,1761465600000,put,3937.9288,0.0039,39.81,0.0036,0.0041,197.0,84.0,"{'delta': -0.25702, 'gamma': 0.00325, 'vega': 0.80277, 'theta': -10.95259, 'rho': -0.04108}",2025-10-24T23:58:57.307877
ETH-26OCT25-3900-C,3900.0,1761465600000,call,3937.9288,0.0152,38.35,0.014,0.016,255.0,185.0,"{'delta': 0.65956, 'gamma': 0.00384, 'vega': 0.91272, 'theta': -11.99596, 'rho': 0.10143}",2025-10-24T23:58:57.571292
ETH-26OCT25-3900-P,3900.0,1761465600000,put,3937.9288,0.0056,38.35,0.005,0.006,357.0,220.0,"{'delta': -0.34044, 'gamma': 0.00384, 'vega': 0.91272, 'theta': -11.99596, 'rho': -0.05447}",2025-10-24T23:58:57.826661
ETH-26OCT25-3925-C,3925.0,1761465600000,call,3937.8988,0.0111,37.14,0.0105,0.0115,355.0,216.0,"{'delta': 0.56019, 'gamma': 0.00426, 'vega': 0.98193, 'theta': -12.49915, 'rho': 0.08644}",2025-10-24T23:58:58.086007
ETH-26OCT25-3925-P,3925.0,1761465600000,put,3937.8988,0.0078,37.14,0.007,0.008,295.0,60.0,"{'delta': -0.43981, 'gamma': 0.00426, 'vega': 0.98193, 'theta': -12.49915, 'rho': -0.07046}",2025-10-24T23:58:58.335580
ETH-26OCT25-3950-C,3950.0,1761465600000,call,3937.8988,0.0078,36.74,0.007,0.008,294.0,84.0,"{'delta': 0.45206, 'gamma': 0.00433, 'vega': 0.98607, 'theta': -12.4163, 'rho': 0.06993}",2025-10-24T23:58:58.598701
ETH-26OCT25-3950-P,3950.0,1761465600000,put,3937.8988,0.0109,36.74,0.01,0.011,48.0,37.0,"{'delta': -0.54794, 'gamma': 0.00433, 'vega': 0.98607, 'theta': -12.4163, 'rho': -0.08797}",2025-10-24T23:58:58.872962
ETH-26OCT25-3975-C,3975.0,1761465600000,call,3937.8866,0.0053,36.43,0.0048,0.0055,54.0,54.0,"{'delta': 0.34615, 'gamma': 0.00407, 'vega': 0.91844, 'theta': -11.46654, 'rho': 0.05366}",2025-10-24T23:58:59.136947
ETH-26OCT25-3975-P,3975.0,1761465600000,put,3937.8866,0.0147,36.43,0.0125,0.0155,24.0,24.0,"{'delta': -0.65385, 'gamma': 0.00407, 'vega': 0.91844, 'theta': -11.46654, 'rho': -0.10524}",2025-10-24T23:58:59.390543
ETH-26OCT25-4000-C,4000.0,1761465600000,call,3937.8866,0.0034,36.47,0.003,0.0036,458.0,437.0,"{'delta': 0.25235, 'gamma': 0.00352, 'vega': 0.7951, 'theta': -9.93847, 'rho': 0.03918}",2025-10-24T23:58:59.649797
ETH-26OCT25-4000-P,4000.0,1761465600000,put,3937.8966,0.0192,36.48,0.0165,0.021,221.0,239.0,"{'delta': -0.74761, 'gamma': 0.00352, 'vega': 0.79516, 'theta': -9.93936, 'rho': -0.12071}",2025-10-24T23:58:59.900175
ETH-26OCT25-4050-C,4050.0,1761465600000,call,3937.8866,0.0013,36.91,0.0011,0.0015,82.0,66.0,"{'delta': 0.11676, 'gamma': 0.00214, 'vega': 0.48849, 'theta': -5.19679, 'rho': 0.01817}",2025-10-24T23:59:00.162689
ETH-26OCT25-4050-P,4050.0,1761465600000,put,3937.8966,0.0298,36.91,0.025,0.0335,65.0,65.0,"{'delta': -0.88322, 'gamma': 0.00214, 'vega': 0.48856, 'theta': -6.17939, 'rho': -0.14372}",2025-10-24T23:59:00.422806
ETH-26OCT25-4100-C,4100.0,1761465600000,call,3937.8966,0.0006,39.67,0.0005,0.0007,804.0,767.0,"{'delta': 0.05525, 'gamma': 0.00113, 'vega': 0.27796, 'theta': -2.29564, 'rho': 0.00861}",2025-10-24T23:59:00.677376
ETH-26OCT25-4100-P,4100.0,1761465600000,put,3937.9065,0.0417,39.67,0.032,0.05,0.0,0.0,"{'delta': -0.94474, 'gamma': 0.00113, 'vega': 0.27801, 'theta': -3.77926, 'rho': -0.15528}",2025-10-24T23:59:00.929936
ETH-26OCT25-4150-C,4150.0,1761465600000,call,3937.9065,0.0003,43.47,0.0003,0.0004,15.0,20.0,"{'delta': 0.02904, 'gamma': 0.00061, 'vega': 0.1649, 'theta': -1.20017, 'rho': 0.00452}",2025-10-24T23:59:01.189758
ETH-26OCT25-4150-P,4150.0,1761465600000,put,3937.8966,0.0542,43.47,0.0,0.0,0.0,0.0,"{'delta': -0.97097, 'gamma': 0.00061, 'vega': 0.16487, 'theta': -2.4559, 'rho': -0.16137}",2025-10-24T23:59:01.461968
ETH-26OCT25-4200-C,4200.0,1761465600000,call,3937.9065,0.0002,47.51,0.0001,0.0003,85.0,61.0,"{'delta': 0.01658, 'gamma': 0.00035, 'vega': 0.10272, 'theta': -0.69665, 'rho': 0.00258}",2025-10-24T23:59:01.718090
ETH-26OCT25-4200-P,4200.0,1761465600000,put,3937.8965,0.0667,47.51,0.0,0.0,0.0,0.0,"{'delta': -0.98343, 'gamma': 0.00035, 'vega': 0.10271, 'theta': -1.67214, 'rho': -0.16531}",2025-10-24T23:59:01.978705
ETH-26OCT25-4300-C,4300.0,1761465600000,call,3937.8965,0.0001,57.97,0.0,0.0002,65.0,61.0,"{'delta': 0.00861, 'gamma': 0.00016, 'vega': 0.05821, 'theta': -0.40986, 'rho': 0.00134}",2025-10-24T23:59:02.233307
ETH-26OCT25-4300-P,4300.0,1761465600000,put,3937.8965,0.0921,57.97,0.0,0.0,0.0,0.0,"{'delta': -0.99139, 'gamma': 0.00016, 'vega': 0.05821, 'theta': -1.1564, 'rho': -0.17055}",2025-10-24T23:59:02.491901
ETH-27OCT25-3400-C,3400.0,1761552000000,call,3938.0792,0.1369,77.83,0.0,0.0,0.0,0.0,"{'delta': 0.99014, 'gamma': 0.0001, 'vega': 0.08506, 'theta': -1.34614, 'rho': 0.22639}",2025-10-24T23:59:02.741708
ETH-27OCT25-3400-P,3400.0,1761552000000,put,3938.0792,0.0002,77.83,0.0001,0.0004,79.0,79.0,"{'delta': -0.00986, 'gamma': 0.0001, 'vega': 0.08506, 'theta': -0.85592, 'rho': -0.00267}",2025-10-24T23:59:02.999155
ETH-27OCT25-3500-C,3500.0,1761552000000,call,3938.1092,0.1117,70.56,0.0,0.0,0.0,0.0,"{'delta': 0.98056, 'gamma': 0.00021, 'vega': 0.15281, 'theta': -2.1923, 'rho': 0.23053}",2025-10-24T23:59:03.256282
ETH-27OCT25-3500-P,3500.0,1761552000000,put,3938.0792,0.0004,70.56,0.0003,0.0006,590.0,108.0,"{'delta': -0.01945, 'gamma': 0.00021, 'vega': 0.15285, 'theta': -1.65447, 'rho': -0.00527}",2025-10-24T23:59:03.515888
ETH-27OCT25-3600-C,3600.0,1761552000000,call,3938.1092,0.0866,62.19,0.0,0.0,0.0,0.0,"{'delta': 0.96279, 'gamma': 0.0004, 'vega': 0.26261, 'theta': -3.32092, 'rho': 0.23246}",2025-10-24T23:59:03.784576
ETH-27OCT25-3600-P,3600.0,1761552000000,put,3938.1092,0.0008,62.19,0.0006,0.0009,3955.0,2257.0,"{'delta': -0.03721, 'gamma': 0.0004, 'vega': 0.26261, 'theta': -3.04314, 'rho': -0.01008}",2025-10-24T23:59:04.037442
ETH-27OCT25-3700-C,3700.0,1761552000000,call,3938.1292,0.0622,55.57,0.0,0.0,0.0,0.0,"{'delta': 0.91779, 'gamma': 0.00084, 'vega': 0.49053, 'theta': -5.5423, 'rho': 0.227}",2025-10-24T23:59:04.285729
ETH-27OCT25-3700-P,3700.0,1761552000000,put,3938.1292,0.0017,55.57,0.0015,0.0019,1791.0,1099.0,"{'delta': -0.08221, 'gamma': 0.00084, 'vega': 0.49053, 'theta': -5.5423, 'rho': -0.02227}",2025-10-24T23:59:04.536754
ETH-27OCT25-3750-C,3750.0,1761552000000,call,3938.1292,0.0504,52.37,0.002,0.0,2.0,2.0,"{'delta': 0.87701, 'gamma': 0.0012, 'vega': 0.6579, 'theta': -7.00634, 'rho': 0.2193}",2025-10-24T23:59:04.799500
ETH-27OCT25-3750-P,3750.0,1761552000000,put,3938.1292,0.0027,52.37,0.0024,0.0028,596.0,242.0,"{'delta': -0.12299, 'gamma': 0.0012, 'vega': 0.6579, 'theta': -7.00634, 'rho': -0.03334}",2025-10-24T23:59:05.051934
ETH-27OCT25-3800-C,3800.0,1761552000000,call,3938.183,0.0392,49.4,0.002,0.0,19.0,0.0,"{'delta': 0.81628, 'gamma': 0.00166, 'vega': 0.85913, 'theta': -8.62883, 'rho': 0.20616}",2025-10-24T23:59:05.334401
